Name,Price,Address,Link,Description,Photo,Date parse,Source
Без депозита! Можно с питомцем,29 700 ₽/мес.,"Красноярский край, Красноярск, р-н Советский, мкр. Иннокентьевский, Краснодарская улица, 16",https://krasnoyarsk.cian.ru/rent/flat/315386542/,"Сдается уютная квартира-студия с балконом и смежным санузлом. Без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды.

Коммунальные платежи и счетчики оплачиваются отдельно. Квартира оборудована кухонным гарнитуром и мебелью/техникой. Есть холодильник, стиральная машина, варочная панель и чайник. Дополнительную мебель и технику можно приобрести в счёт арендной платы. Полы - плитка и ламинат. Проведён интернет, есть роутер. Окна выходят во двор, есть парковка и детская площадка.

Возможно заселение с небольшим домашним питомцем.

Дом находится в районе с развитой инфраструктурой. В пешей доступности - продуктовые магазины, детский сад, школа, медицинские учреждения, аптека, кафе и фитнес-клуб. Недалеко - сквер Журналистов.

До остановки общественного транспорта - 1 минута пешком. Снять квартиру в Красноярске на длительный срок.","['https://images.cdn-cian.ru/images/2436958129-1.jpg', 'https://images.cdn-cian.ru/images/2436958135-1.jpg', 'https://images.cdn-cian.ru/images/2436958144-1.jpg', 'https://images.cdn-cian.ru/images/2436958129-2.jpg', 'https://images.cdn-cian.ru/images/2436958135-2.jpg', 'https://images.cdn-cian.ru/images/2436958144-2.jpg', 'https://images.cdn-cian.ru/images/2436958153-2.jpg', 'https://images.cdn-cian.ru/images/2436958160-2.jpg', 'https://images.cdn-cian.ru/images/2436958176-2.jpg', 'https://images.cdn-cian.ru/images/2436958192-2.jpg', 'https://images.cdn-cian.ru/images/2436958202-2.jpg', 'https://images.cdn-cian.ru/images/2436958212-2.jpg', 'https://images.cdn-cian.ru/images/2436958226-2.jpg', 'https://images.cdn-cian.ru/images/2436958237-2.jpg', 'https://images.cdn-cian.ru/images/2436958250-2.jpg', 'https://images.cdn-cian.ru/images/2436958257-2.jpg', 'https://images.cdn-cian.ru/images/2436958278-2.jpg', 'https://images.cdn-cian.ru/images/2436958286-2.jpg', 'https://images.cdn-cian.ru/images/2436958296-2.jpg', 'https://images.cdn-cian.ru/images/2436958310-2.jpg', 'https://images.cdn-cian.ru/images/2436958321-2.jpg', 'https://images.cdn-cian.ru/images/2436958329-2.jpg', 'https://images.cdn-cian.ru/images/2436958339-2.jpg', 'https://images.cdn-cian.ru/images/2436958347-2.jpg', 'https://images.cdn-cian.ru/images/2436958356-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
1-я квартира в студгородке,35 000 ₽/мес.,"Красноярский край, Красноярск, р-н Октябрьский, мкр. Орбита, улица Академика Киренского, 22",https://krasnoyarsk.cian.ru/rent/flat/315415667/,"Собственник! 

Сдам однокомнатную квартиру со свежим ремонтом, в квартире есть всё необхимое: телевизор смарт, 2-х спальная кровать, стол письменный, холодильник, варочная панель, микроволновка, кондиционер. 

Рядом в доме супермаркет ""Командор"", в пяти минут ходьбы университет СФУ, до остановки 7 минут пешком, рядом лес в 10-ти минутах.","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464799-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464790-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464793-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464799-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464790-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464793-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464794-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-akademika-kirenskogo-2437464807-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
"1-комн. квартира, 42 м², 7/17 этаж",20 000 ₽/мес.,"Красноярский край, Красноярск, р-н Центральный, мкр. Покровский, Линейная улица, 109",https://krasnoyarsk.cian.ru/rent/flat/314531688/,"Сдаётся 1 комнатная квартира на долгий срок чистоплотным и платежеспособным людям. . Отличное расположение, дом находится напротив ТЦ Покровский, в шаговой доступности школа, детский сад, много различных магазинов. В квартире есть необходимая мебель и техника, фото соответствуют действительности. Просмотр по договорённости. Оплата комиссии по факту заселения.
-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288775-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288776-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423285372-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288775-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288776-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423285372-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288795-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288780-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288778-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288790-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423285381-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423285379-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288784-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-lineynaya-ulica-2423288791-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
Аренда однокомнатной квартиры,21 000 ₽/мес.,"Красноярский край, Красноярск, р-н Советский, улица Светлова, 44",https://krasnoyarsk.cian.ru/rent/flat/315045748/,"Сдается уютная 1-комнатная квартира с балконом и раздельным санузлом. Без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды.

Счетчики оплачиваются отдельно. Квартира оборудована кухонным гарнитуром и всей необходимой мебелью/техникой. Есть холодильник, стиральная машина, утюг, варочная панель, чайник. Собственник готов докупить дополнительную мебель/технику. Проведен интернет, полы - плитка и линолеум. Окна выходят во двор, есть бесплатная парковка.

С небольшим домашним питомцем можно.

Дом находится в районе с развитой инфраструктурой. В пешей доступности продуктовые магазины, школа, медицинские учреждения, аптека. Квартира в Красноярске.","['https://images.cdn-cian.ru/images/2430219187-1.jpg', 'https://images.cdn-cian.ru/images/2430219195-1.jpg', 'https://images.cdn-cian.ru/images/2430219200-1.jpg', 'https://images.cdn-cian.ru/images/2430219187-2.jpg', 'https://images.cdn-cian.ru/images/2430219195-2.jpg', 'https://images.cdn-cian.ru/images/2430219200-2.jpg', 'https://images.cdn-cian.ru/images/2430219207-2.jpg', 'https://images.cdn-cian.ru/images/2430219217-2.jpg', 'https://images.cdn-cian.ru/images/2430219229-2.jpg', 'https://images.cdn-cian.ru/images/2430219232-2.jpg', 'https://images.cdn-cian.ru/images/2430219245-2.jpg', 'https://images.cdn-cian.ru/images/2430219254-2.jpg', 'https://images.cdn-cian.ru/images/2430219264-2.jpg', 'https://images.cdn-cian.ru/images/2430219279-2.jpg', 'https://images.cdn-cian.ru/images/2430219292-2.jpg', 'https://images.cdn-cian.ru/images/2430219299-2.jpg', 'https://images.cdn-cian.ru/images/2430219310-2.jpg', 'https://images.cdn-cian.ru/images/2430219315-2.jpg', 'https://images.cdn-cian.ru/images/2430219321-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
"1-комн. квартира, 36 м², 2/24 этаж",26 000 ₽/мес.,"Красноярский край, Красноярск, р-н Октябрьский, улица Попова, 20",https://krasnoyarsk.cian.ru/rent/flat/239995542/,"Арендная плата: 26. 000 (+ЖКХ).                                                                                                                       
       Залог 5. 000
Аренда на длительный срок.

Рядом: остановка ( м-н Локомотив, бульвар ботанический), станция (Бугач), детская площадка, школа, детский сад, круглосуточный магазин. 
Wildberries, Ozone.
Разрешается с животными.","['https://images.cdn-cian.ru/images/9/313/349/kvartira-krasnoyarsk-popova-ulica-943313908-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428111379-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428083423-1.jpg', 'https://images.cdn-cian.ru/images/9/313/349/kvartira-krasnoyarsk-popova-ulica-943313908-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428111379-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428083423-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428111375-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428111380-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428111364-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428111358-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-popova-ulica-2428083413-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
"1-комн. квартира, 33 м², 5/10 этаж",14 000 ₽/мес.,"Красноярский край, Красноярск, р-н Октябрьский, улица Калинина, 175Б",https://krasnoyarsk.cian.ru/rent/flat/315283787/,Сдам квартиру. Квартира на данный момент пустая. По поводу комплектации с возможным небольшим поднятием стоимости  разговариваем.  Звоните.,"['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910518-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910437-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910506-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910518-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910437-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910506-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434910514-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-kalinina-2434906808-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
"Студия, 22 м², 7/16 этаж",26 000 ₽/мес.,"Красноярский край, Красноярск, р-н Октябрьский, улица Академика Киренского, 32",https://krasnoyarsk.cian.ru/rent/flat/315305833/,"Сдаем на длительный срок тёплую, уютную кваpтиру  с бoльшoй заcтeклeннoй лoджией. Дом в Студгoрoдке, pядoм СФУ, шкoла, мaгaзины. Удобная тpанспортнaя рaзвязка. B квapтирe eсть неoбходимая мебeль и бытовая теxника, вмecтительная гаpдеpoбная. Сдаётся пopядoчным людям -  без врeдных привычек, без домашних животных! Имеется плита с духовкой, холодильник, стиральная машинка, обеденная группа. В зале-диван, кресло, всторенный шкаф. Сан. узел совмещен, в современном кафеле. Окна выходят во двор. Предпочтение семье без детей. Залог возможно разделить на 2 месяца, возвращается при выезде. Есть видео квартиры, по запросу.

Обязательные коммунальные платежи включены в стоимость, без учета счетчиков. Сдаю квартиру в Красноярске.","['https://images.cdn-cian.ru/images/2435342707-1.jpg', 'https://images.cdn-cian.ru/images/2435342702-1.jpg', 'https://images.cdn-cian.ru/images/2435342713-1.jpg', 'https://images.cdn-cian.ru/images/2435342707-2.jpg', 'https://images.cdn-cian.ru/images/2435342702-2.jpg', 'https://images.cdn-cian.ru/images/2435342713-2.jpg', 'https://images.cdn-cian.ru/images/2435342722-2.jpg', 'https://images.cdn-cian.ru/images/2435342734-2.jpg', 'https://images.cdn-cian.ru/images/2435342739-2.jpg', 'https://images.cdn-cian.ru/images/2435342744-2.jpg', 'https://images.cdn-cian.ru/images/2435342748-2.jpg', 'https://images.cdn-cian.ru/images/2435342750-2.jpg', 'https://images.cdn-cian.ru/images/2435342753-2.jpg', 'https://images.cdn-cian.ru/images/2435342758-2.jpg', 'https://images.cdn-cian.ru/images/2435342763-2.jpg', 'https://images.cdn-cian.ru/images/2435342766-2.jpg', 'https://images.cdn-cian.ru/images/2435342768-2.jpg', 'https://images.cdn-cian.ru/images/2435342769-2.jpg', 'https://images.cdn-cian.ru/images/2435342772-2.jpg', 'https://images.cdn-cian.ru/images/2435342776-2.jpg', 'https://images.cdn-cian.ru/images/2435342778-2.jpg', 'https://images.cdn-cian.ru/images/2435342780-2.jpg', 'https://images.cdn-cian.ru/images/2435342781-2.jpg', 'https://images.cdn-cian.ru/images/2435342785-2.jpg', 'https://images.cdn-cian.ru/images/2435342788-2.jpg', 'https://images.cdn-cian.ru/images/2435342790-2.jpg', 'https://images.cdn-cian.ru/images/2435342792-2.jpg', 'https://images.cdn-cian.ru/images/2435342799-2.jpg', 'https://images.cdn-cian.ru/images/2435342804-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
"Студия, 36 м², 13/13 этаж",25 000 ₽/мес.,"Красноярский край, Красноярск, р-н Советский, мкр. Северный, улица Урванцева, 12",https://krasnoyarsk.cian.ru/rent/flat/314823116/,"Хочу для вам предложить однокомнатную квартиру, в которой есть: кухонный гарнитур, печка с двумя комфортами и духовкой, стиральная машина, холодильник, телевизор, двух спальная кровать, обеденная группа, с тремя стульями, душевая кабинка, шкаф, телевизор. Отличное место расположения. Неподалеку находится все необходимое.  При заключении договора вносится залог в размере пятнадцати тысяч рублей Залог можно разделить если нужно на два месяца.

Обязательные коммунальные платежи включены в стоимость, без учета счетчиков. Аренда жилья в Красноярске.","['https://images.cdn-cian.ru/images/2425674052-1.jpg', 'https://images.cdn-cian.ru/images/2425674061-1.jpg', 'https://images.cdn-cian.ru/images/2425674071-1.jpg', 'https://images.cdn-cian.ru/images/2425674052-2.jpg', 'https://images.cdn-cian.ru/images/2425674061-2.jpg', 'https://images.cdn-cian.ru/images/2425674071-2.jpg', 'https://images.cdn-cian.ru/images/2425674085-2.jpg', 'https://images.cdn-cian.ru/images/2425674148-2.jpg', 'https://images.cdn-cian.ru/images/2425674162-2.jpg', 'https://images.cdn-cian.ru/images/2433957875-2.jpg', 'https://images.cdn-cian.ru/images/2433957863-2.jpg', 'https://images.cdn-cian.ru/images/2433957832-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
"Студия, 12 м², 1/9 этаж",14 000 ₽/мес.,"Красноярский край, Красноярск, р-н Свердловский, улица Королева, 10",https://krasnoyarsk.cian.ru/rent/flat/315328093/,"Чистая, уютная и теплая гостинка. Хорошие соседи.","['https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435838373-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435838402-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435828657-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435838373-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435838402-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435828657-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435828691-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435828687-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435828678-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435828708-2.jpg', 'https://images.cdn-cian.ru/images/kvartira-krasnoyarsk-ulica-koroleva-2435838431-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
Сдаётся впервые!,19 000 ₽/мес.,"Красноярский край, Красноярск, р-н Октябрьский, улица Вильского, 28",https://krasnoyarsk.cian.ru/rent/flat/314329913/,"Предлагаемся для вас в арену. Очень хорошая Студия, в которой есть: кухонный гарнитур,  обеденная группа, с тремя стульями, духовка, печка двух комфорочная, стиральная машинка, холодильник, шкаф под одежку, горка, диван, телевизора нет. Рядом находится все самое необходимое, остановка общественного транспорта, пятерочка, командор, и много других магазинчиков. При заключении договора, вносится залог в размере двадцати тысяч рублей, который вноситься, за сохранность и порчу имущества. Залог возможно можно будет разбить на месяца, все нужно обсуждать при личной встречи.

Обязательные коммунальные платежи включены в стоимость, без учета счетчиков. Сдается квартира в Красноярске.","['https://images.cdn-cian.ru/images/2415597863-1.jpg', 'https://images.cdn-cian.ru/images/2415597866-1.jpg', 'https://images.cdn-cian.ru/images/2415597869-1.jpg', 'https://images.cdn-cian.ru/images/2415597863-2.jpg', 'https://images.cdn-cian.ru/images/2415597866-2.jpg', 'https://images.cdn-cian.ru/images/2415597869-2.jpg', 'https://images.cdn-cian.ru/images/2415597872-2.jpg', 'https://images.cdn-cian.ru/images/2415597875-2.jpg', 'https://images.cdn-cian.ru/images/2415597882-2.jpg', 'https://images.cdn-cian.ru/images/2415597883-2.jpg', 'https://images.cdn-cian.ru/images/2415597885-2.jpg']",2025-03-26,krasnoyarsk.cian.ru
